track_id,name,artist_id,artist_name,genre,duration_ms,popularity,release_year,tempo,energy,danceability,acousticness,valence,instrumentalness,loudness,speechiness
T000000,Quiet Fire,A00162,Lil Echo,Jazz,359450,48,2022,114.1,0.6637,0.8207,0.9808,0.4953,0.037,-19.91,0.5902
T000001,Red Love,A00445,Neon Wave,Blues,146138,67,2014,187.5,0.0153,0.1442,0.8709,0.97,0.0748,-8.74,0.265
T000002,Quiet Mind,A00319,Silver Tone,Pop,141054,42,2020,179.3,0.8593,0.38,0.3167,0.7187,0.7594,-5.1,0.0359
T000003,Bright Moon,A00035,MC Sound,Metal,195334,29,2021,164.5,0.434,0.0984,0.6337,0.8726,0.4437,-12.24,0.9034
T000004,Found Time,A00023,Lil Bass,Metal,196904,45,2001,112.5,0.1456,0.5312,0.5659,0.7925,0.17,-36.84,0.8708
T000005,Wild Dream,A00317,Cosmic Wave,Latin,359292,74,2015,80.0,0.4611,0.254,0.2553,0.0094,0.8046,-3.95,0.6776
T000006,Red Fire,A00080,Midnight Harmony,R&B,274028,38,2011,149.5,0.4243,0.2501,0.8453,0.1992,0.3847,-20.67,0.2372
T000007,Found Sun,A00292,Silver Sound,Country,303311,37,2009,63.1,0.83,0.3958,0.0081,0.8651,0.7783,-1.06,0.9106
T000008,Old Love,A00381,MC Melody,Classical,323355,29,2009,145.0,0.3523,0.6366,0.6209,0.6778,0.7209,-13.63,0.8383
T000009,Red Life,A00321,Big Bass,Pop,289434,5,2020,103.3,0.4408,0.5796,0.7324,0.0901,0.2951,-10.1,0.1756
T000010,Loud Rain,A00067,Dark Echo,Jazz,259159,64,2011,187.9,0.8305,0.257,0.8247,0.4818,0.8065,-10.14,0.3387
T000011,Old Day,A00058,Silver Tone,Country,317696,28,2004,180.4,0.7242,0.9799,0.9673,0.8046,0.3658,-8.37,0.0139
T000012,Red Fire,A00274,Midnight Rhythm,Jazz,296377,95,2011,154.1,0.5846,0.8224,0.9403,0.1083,0.2338,-39.0,0.8842
T000013,Found Life,A00287,Cosmic Rhythm,Country,178030,82,2019,68.9,0.8239,0.9094,0.3022,0.4083,0.1398,-2.15,0.3044
T000014,Red Day,A00252,Young Wave,Pop,352589,68,2007,79.0,0.4536,0.6705,0.7431,0.946,0.4191,-10.31,0.1545
T000015,Wild Day,A00212,The Tone,Classical,281389,52,2015,191.5,0.2797,0.6903,0.2173,0.4447,0.2361,-25.49,0.9809
T000016,Last Life,A00188,The Harmony,Soul,214024,7,2020,115.7,0.1898,0.1222,0.848,0.4547,0.6628,-14.33,0.5971
T000017,Blue Time,A00010,Cosmic Beat,Electronic,183850,16,2010,170.2,0.2052,0.8298,0.5542,0.5864,0.8131,-30.68,0.7744
T000018,High Sun,A00403,Silver Sound,R&B,192685,18,2000,198.3,0.5402,0.7985,0.1099,0.8664,0.1318,-25.67,0.7884
T000019,Found Night,A00301,The Tone,Metal,189564,6,2005,77.7,0.421,0.1136,0.0636,0.4483,0.362,-16.25,0.452
T000020,First Night,A00113,Crystal Tone,Metal,325318,84,2023,133.0,0.458,0.964,0.0608,0.479,0.4016,-12.56,0.4903
T000021,Old Day,A00465,Silver Rhythm,Metal,204439,77,2002,80.8,0.1262,0.6243,0.5854,0.7122,0.3809,-16.1,0.2949
T000022,First Mind,A00258,Electric Beat,Electronic,327905,89,2003,76.0,0.6547,0.8777,0.5513,0.8655,0.4301,-4.48,0.4138
T000023,Old Mind,A00423,Crystal Pulse,Folk,311263,12,2013,103.8,0.3125,0.2549,0.9536,0.6868,0.4743,-36.35,0.0854
T000024,Red Star,A00221,Solar Sound,Electronic,217687,16,2023,137.9,0.5865,0.5616,0.3296,0.1222,0.3536,-13.39,0.7503
T000025,High Star,A00444,Crystal Bass,R&B,195400,76,2001,103.7,0.1036,0.5074,0.1547,0.4822,0.8473,-26.0,0.5563
T000026,Loud Heart,A00058,Silver Tone,Country,179286,54,2018,178.3,0.9745,0.8184,0.6136,0.6427,0.0263,-2.84,0.8295
T000027,Blue Road,A00136,Lil Pulse,Pop,304208,97,2008,103.3,0.3398,0.0061,0.8699,0.5663,0.4008,-34.33,0.6332
T000028,Red Star,A00015,Lil Echo,Electronic,176395,48,2016,118.8,0.3409,0.3701,0.7216,0.7768,0.5676,-36.6,0.0526
T000029,Loud Sun,A00080,Midnight Harmony,R&B,296676,10,2001,98.1,0.6619,0.4857,0.442,0.2732,0.7549,-35.45,0.4299
T000030,Wild Moon,A00145,Midnight Pulse,Country,247567,67,2018,153.4,0.0454,0.3953,0.5993,0.0077,0.3014,-31.55,0.1372
T000031,Lost Soul,A00130,DJ Beat,R&B,122026,63,2003,164.6,0.1757,0.3802,0.7037,0.5003,0.8334,-7.75,0.0721
